date,Close
2026-07-17,-86189.0
2026-07-20,-78337.0
2026-07-21,-78490.0
2026-07-22,-76595.0
2026-07-23,-75198.0
2026-07-24,-76260.0
2026-07-27,-78699.0
2026-07-28,-82255.0
2026-07-29,-82785.0
2026-07-30,-81017.0
2026-07-31,-82515.0
2026-08-03,-90038.0
2026-08-04,-87858.0
2026-08-05,-87199.0
2026-08-06,-89383.0
2026-08-07,-87911.0
2026-08-10,-89201.0
2026-08-11,-88924.0
2026-08-12,-86633.0
2026-08-13,-86249.0
2026-08-14,-85179.0
2026-08-17,-83474.0
2026-08-18,-83078.0
2026-08-19,-81501.0
2026-08-20,-82423.0
